iteration,mau_month0,total_customers_month0,new_signups_percentage_month0,existing_customer_uptake_percentage_month0,total_late_signups,new_customer_uptake_percentage_month0,probability_membership_new_signup_active_next_month0,probabillity_membership_existing_active_next_month0,probability_standard_active_next_month0,counterfactual_ride_revenue_month0,counterfactual_number_rides_taken_month0,total_membership_revenue_month0,treatment_world_number_rides_taken_month0,num_customers_riding_over_breakeven,total_membership_revenue_riders_over_breakeven,total_standard_revenue_riders_over_breakeven,total_membership_ride_mintues_riders_over_breakeven,total_standard_ride_mintues_riders_over_breakeven,num_membership_rides_riders_over_breakeven,num_standard_rides_riders_over_breakeven
10,2033,2218,0.09136396810240158,0.009880780033695588,441,0.055247069505648234,0.6234175594593598,0.4655027014695642,0.1853368656156947,33046.927174460056,6913,18837.11260346011,7059,330,3075.2516526226505,89.55916433116965,7885.260647750386,186.04913931069137,2652,17
11,2074,2203,0.062299908008445065,0.01591771417660684,395,0.09819476867103274,0.4562159107383469,0.41407684770837505,0.20113247608036564,32434.834151576106,6798,17528.451605127975,7003,344,3433.7546528369744,116.49580744328702,8804.499109838398,234.60463446996675,2754,25
12,1947,2051,0.053465061334546315,0.017806829001991938,378,0.046490916947005925,0.6310692444926181,0.4302926629095073,0.2916747952514771,29932.92138026081,6282,16762.70623493957,6510,305,3316.03441472761,27.726035869288285,8502.65234545541,53.14368171612381,2502,7
13,1828,1957,0.07081780388334694,0.007578230412428963,401,0.0822552198709885,0.4380327107003722,0.4797428900904336,0.26407393798678985,29600.93031540235,6242,17379.507543078926,6336,316,2788.8286574283097,253.2639262860024,7150.84271135464,516.0613494512883,2529,52
14,2055,2196,0.06893639984978857,0.023960396210394964,418,0.0553016760499864,0.6495798585914956,0.4112649243020881,0.11250962097011004,32222.57573140919,6789,18982.240304886494,7037,374,3820.4268821439787,234.57978261250935,9795.96636447174,468.15328875002405,2959,52
15,1868,2029,0.08639724701164639,0.008706588706969776,358,0.06307888601668664,0.6377909210428596,0.4452875881016177,0.08218609130154009,29326.69420481765,6208,15166.48866152919,6327,273,2597.2722650816027,65.85238007363168,6659.672474568211,132.95482070161967,2202,14
16,1912,1981,0.03634911032716791,0.011724951762572045,394,0.10000990533545202,0.6193888812414733,0.5000982326373391,0.11402299747002272,29293.298364033042,6237,17020.16225023906,6370,315,2923.5066179773758,144.26568795733957,7496.1708153266045,295.5530460444604,2534,29
17,1927,1979,0.027153471238460774,0.03949829793026966,365,0.06855445051203646,0.5864833834496063,0.46347100797163415,0.3816198697882418,28608.224112396383,5989,17591.193288699185,6342,323,4383.71780985863,25.897931525609025,11240.30207656059,48.45623468104879,2663,7
18,1907,2150,0.12788118802839557,0.013059767516947264,418,0.06387839831734028,0.534635808934878,0.5339922130583273,0.06659702615742023,31759.338494787837,6757,18163.552440354026,6935,331,3283.8518782643987,34.98743746742541,8420.133021190766,71.76266017288567,2692,7
19,1922,2040,0.06152459674626091,0.009036409393734157,386,0.09684215697042618,0.5226796278238375,0.5123689633189586,0.15128883707116864,30247.003419216708,6395,16542.600803881214,6526,313,2807.5691839763767,56.396752135360664,7198.895343529171,108.70962085989913,2481,14
20,1988,2144,0.07895875968908628,0.04635679063512367,387,0.055074013443369346,0.5117920566084443,0.55042568663634,0.23341575886347984,31536.236940999923,6607,19644.421819036073,7099,387,5354.475261658913,124.86277360972912,13729.423747843366,253.49429130699775,3187,26
21,1894,2017,0.06514051004431598,0.01481177438439885,373,0.08091096982808518,0.6295261946583192,0.593189270285998,0.04729078285348312,29852.447385176278,6271,16426.921756384658,6428,317,3030.218460252733,38.0653604661655,7769.790923724955,77.0906678619628,2553,8
22,1890,1961,0.037790746535257415,0.022216429965415264,376,0.0853952531158104,0.5323493817307514,0.3076404233035521,0.20561529859549188,28988.883770272758,6089,16863.228732966814,6314,312,3376.7747249453705,101.50854090322116,8658.396730629154,206.4321561621055,2489,21
